Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
63.04649258,-6.450811,-6.196826,-19.005,0.9678657,-0.1068963,-0.1932845,-31.89269,28.11271,6.998085,1019.855
63.05648232,-8.111208,-6.736923,-18.63814,0.9591023,-0.1037542,-0.1825481,-31.89269,28.11271,6.998085,1019.855
63.06647205,-8.2342,-5.956784,-18.69928,0.9482751,-0.0989871,-0.1857265,-31.89269,28.11271,6.998085,1019.855
63.07646227,-8.172705,-6.616902,-18.4547,0.9472786,-0.1036408,-0.2036637,-31.89269,28.11271,6.998085,1019.855
63.08645201,-6.94278,-6.616902,-18.69928,0.9502752,-0.111725,-0.2164163,-32.24966,27.3633,7.452457,1019.853
63.09644175,-6.14333,-5.176644,-18.51585,0.9628586,-0.1316345,-0.2112303,-32.24966,27.3633,7.452457,1019.853
63.10643148,-4.298444,-4.096452,-17.59867,0.9635105,-0.1432308,-0.2197223,-32.24966,27.3633,7.452457,1019.853
63.1164217,-3.437498,-2.956248,-16.74264,0.9706278,-0.1568943,-0.2128945,-32.24966,27.3633,7.452457,1019.853
63.12641144,-4.790414,-2.176109,-15.09173,0.983294,-0.1604598,-0.2241492,-32.24966,27.3633,7.452457,1019.854
63.13640213,-5.651361,-1.576001,-13.5631,0.98312,-0.1488367,-0.2171049,-31.8599,26.68286,7.833975,1019.854
63.14639187,-4.974903,-3.196291,-12.15677,0.9675694,-0.1524271,-0.2214307,-31.8599,26.68286,7.833975,1019.854
63.15638161,-4.667422,-3.796398,-10.13898,0.9646236,-0.148202,-0.2121498,-31.8599,26.68286,7.833975,1019.854
63.16637135,-4.667422,-2.956248,-8.488069,0.962002,-0.136589,-0.2070165,-31.8599,26.68286,7.833975,1019.852
63.17636156,-4.974903,-1.45598,-6.898299,0.977465,-0.129998,-0.207912,-31.8599,26.68286,7.833975,1019.852
63.1863513,-5.712857,-0.5558193,-5.308529,0.9541551,-0.1319026,-0.2010637,-32.5867,25.55759,7.840591,1019.852
63.19634104,-6.94278,-0.07573352,-3.96334,0.9519755,-0.1187788,-0.1987849,-32.5867,25.55759,7.840591,1019.852
63.20633078,-6.6353,-0.07573352,-3.47418,0.9395515,-0.1076488,-0.2046795,-32.5867,25.55759,7.840591,1019.854
63.21632099,-6.881285,-0.4958085,-3.10731,0.9565358,-0.1039777,-0.2046966,-32.5867,25.55759,7.840591,1019.854
63.22631073,-6.94278,0.04428791,-2.801585,0.9520709,-0.1001186,-0.2060132,-32.5867,25.55759,7.840591,1019.854
63.23630142,-7.004277,0.7044058,-2.557005,0.9469071,-0.09018697,-0.2235478,-32.59145,25.93011,8.228102,1019.854
63.24629116,-6.020338,0.8844379,-2.86273,0.9508854,-0.09217941,-0.2163993,-32.59145,25.93011,8.228102,1019.857
63.2562809,-5.466872,1.484545,-3.535325,0.9385116,-0.08818797,-0.2359663,-32.59145,25.93011,8.228102,1019.857
63.26627064,-3.990963,0.2843308,-3.71876,0.9450276,-0.09551986,-0.22849,-32.59145,25.93011,8.228102,1019.857
63.27626085,-3.007025,0.5843843,-4.024485,0.9484466,-0.09408316,-0.2226947,-32.59145,25.93011,8.228102,1019.857
63.28625059,-1.838597,0.7644165,-4.08563,0.9503698,-0.09728119,-0.2367598,-32.57233,24.81192,7.839354,1019.855
63.29624033,-2.084582,-0.4958085,-3.902195,0.9554479,-0.08160127,-0.2349446,-32.57233,24.81192,7.839354,1019.855
63.30623055,-1.654108,-0.3757871,-4.08563,0.9690626,-0.07712909,-0.2257661,-32.57233,24.81192,7.839354,1019.855
63.31622028,-1.715605,0.4043522,-4.269065,0.9654179,-0.06683145,-0.2327033,-32.57233,24.81192,7.839354,1019.855
63.3262105,-2.023085,-0.61583,-4.269065,0.9619478,-0.06534602,-0.2379413,-32.57233,24.81192,7.839354,1019.858
63.33620071,-2.884032,-1.095916,-4.513645,0.951518,-0.05381659,-0.2351676,-32.9369,24.43539,8.229861,1019.858
63.34619045,-2.884032,-0.8558729,-5.186239,0.9575713,-0.06120809,-0.2238359,-32.9369,24.43539,8.229861,1019.858
63.35618019,-3.130017,-0.8558729,-5.675399,0.949865,-0.0676044,-0.2287672,-32.9369,24.43539,8.229861,1019.858
63.36616993,-3.867971,-0.4357978,-6.042269,0.9669273,-0.06925676,-0.2322938,-32.9369,24.43539,8.229861,1019.859
63.37616015,-3.253009,-0.07573352,-6.042269,0.9698772,-0.06880354,-0.2265208,-32.9369,24.43539,8.229861,1019.859
63.38614988,-2.330566,0.3443415,-6.347994,0.9795743,-0.06293823,-0.2163172,-32.8721,24.43565,8.616047,1019.859
63.39613962,-2.023085,-0.5558193,-5.797689,0.9859938,-0.06631289,-0.2125923,-32.8721,24.43565,8.616047,1019.859
63.40612984,-2.884032,0.7044058,-4.941659,0.9801734,-0.06598392,-0.2072466,-32.8721,24.43565,8.616047,1019.857
63.41612005,-4.298444,1.184492,-4.391355,0.9615175,-0.0570382,-0.2030402,-32.8721,24.43565,8.616047,1019.857
63.42610979,-5.958842,0.9444486,-4.146775,0.9641485,-0.06726534,-0.202357,-32.8721,24.43565,8.616047,1019.857
63.43610001,-6.696796,0.1643093,-3.902195,0.9489357,-0.07099649,-0.2317387,-32.55028,24.06529,9.063268,1019.857
63.44608975,-6.081834,-0.7358514,-4.941659,0.9508557,-0.07512496,-0.2491998,-32.55028,24.06529,9.063268,1019.858
63.45607948,-6.020338,-0.01572281,-3.71876,0.9475858,-0.07688218,-0.2313995,-32.55028,24.06529,9.063268,1019.858
63.4660697,-4.421437,0.8844379,-3.35189,0.9468268,-0.06786793,-0.248505,-32.55028,24.06529,9.063268,1019.858
63.47605944,-2.084582,1.484545,-2.679295,0.9490789,-0.05665732,-0.2443775,-32.55028,24.06529,9.063268,1019.858
63.48604918,-1.285131,0.8844379,-2.801585,0.9530184,-0.0552853,-0.2332883,-33.22908,23.68624,9.070417,1019.859
63.49603891,0.06778497,0.3443415,-3.10731,0.9607908,-0.0532493,-0.2308783,-33.22908,23.68624,9.070417,1019.859
63.50602961,0.3752659,0.5243737,-3.413035,0.9704755,-0.0482948,-0.2255154,-33.22908,23.68624,9.070417,1019.859
